"Table 1b: Estimated Census Day population from the 2011 Census by sex, five year age group and administrative area",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,373712,,19694,19036,21143,22927,21610,19822,19113,22552,27790,29387,27431,25072,26670,21650,17885,14247,9455,5486,2742,,Ayrshire & Arran
Borders,113870,,5712,5905,6335,6409,5272,5029,5081,6734,8680,9248,8723,7986,8937,7051,5900,4568,3331,2004,965,,Borders
Dumfries & Galloway,151324,,7660,7378,8270,8747,7692,7375,6745,8163,10610,11995,11180,10787,11672,9843,8154,6622,4635,2582,1214,,Dumfries & Galloway
Fife,365198,,20775,19156,20186,22664,24141,20802,20787,23035,27445,28007,26152,22981,24996,19529,15652,12425,8730,5188,2547,,Fife
Forth Valley,297636,,16683,15909,17510,19163,18895,17082,17347,20059,23519,23739,21054,18202,19431,14922,12540,9646,6492,3703,1740,,Forth Valley
Grampian,569061,,31896,28067,30185,35902,41372,39736,36660,37906,41930,43288,39655,36183,36365,26246,21948,17976,12790,7409,3547,,Grampian
Greater Glasgow & Clyde,1213408,,66928,60306,65597,78633,93763,88762,79593,78196,90830,94786,85922,71967,68200,53265,47147,39381,27222,15438,7472,,Greater Glasgow & Clyde
Highland,320298,,16812,16720,18351,18348,16009,17001,16394,18700,23088,25384,24020,22940,24155,19187,15437,12068,8336,4912,2436,,Highland
Lanarkshire,574637,,33252,31725,34135,36122,34454,35286,34613,38274,45337,46373,41852,36450,35246,28042,23614,18354,12274,6358,2876,,Lanarkshire
Lothian,834350,,48491,41421,42839,51209,68249,65347,59093,58725,61912,62113,55831,47455,47633,35688,30082,24661,17909,10540,5152,,Lothian
Orkney,21349,,1107,1004,1205,1306,1133,1048,1065,1216,1589,1712,1611,1528,1606,1346,1092,733,569,305,174,,Orkney
Shetland,23167,,1389,1326,1450,1451,1295,1253,1403,1533,1670,1841,1629,1593,1557,1230,913,687,491,296,160,,Shetland
Tayside,409709,,21068,20251,22880,26359,28827,25831,22424,23327,28243,30958,28732,25775,27880,21499,18733,15599,11451,6747,3125,,Tayside
Western Isles,27684,,1354,1413,1529,1586,1228,1258,1377,1636,2055,2098,2035,1972,2174,1700,1497,1147,840,539,246,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Males
Males,All Ages,,Age group,,,,,,,,,,,,,,,,,,,,Area
,,,0 - 4,  5 - 9, 10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
SCOTLAND,"2,567,444",,"149,224","137,976","149,615","168,115","181,059","169,961","158,646","166,230","191,440","200,319","184,198","162,197","164,725","124,671","100,691","76,818","48,592","24,196","8,771",,SCOTLAND
Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
Aberdeen City,"110,122",,"5,855","4,681","4,913","7,195","11,376","10,657","9,056","7,720","7,539","7,622","7,167","6,569","6,283","4,081","3,431","2,852","1,854",920,351,,Aberdeen City
Aberdeenshire,"125,269",,"7,751","7,215","7,864","7,847","6,974","6,488","7,178","8,646","9,744","10,125","9,436","8,621","8,916","6,157","4,831","3,568","2,241","1,235",432,,Aberdeenshire
Angus,"56,206",,"2,958","3,114","3,534","3,547","3,084","3,021","2,867","3,311","3,978","4,552","4,009","3,826","4,305","3,216","2,632","2,023","1,319",640,270,,Angus
Argyll & Bute,"43,140",,"2,096","2,229","2,583","2,711","2,512","2,214","1,912","2,264","2,958","3,378","3,173","3,075","3,473","2,912","2,268","1,605","1,039",552,186,,Argyll & Bute
Clackmannanshire,"25,109",,"1,458","1,396","1,542","1,639","1,464","1,457","1,486","1,715","2,109","2,055","1,832","1,639","1,711","1,313",965,675,415,169,69,,Clackmannanshire
Dumfries & Galloway,"73,405",,"3,872","3,831","4,253","4,470","3,906","3,617","3,236","3,911","5,017","5,845","5,476","5,254","5,794","4,721","3,957","3,071","1,910",927,337,,Dumfries & Galloway
Dundee City,"70,706",,"4,039","3,526","3,764","5,243","7,430","5,819","4,329","3,891","4,611","4,874","4,834","3,935","4,082","2,976","2,669","2,200","1,467",745,272,,Dundee City
East Ayrshire,"59,389",,"3,458","3,234","3,544","3,943","3,794","3,380","3,180","3,815","4,605","4,737","4,388","3,845","4,100","3,121","2,515","1,884","1,145",511,190,,East Ayrshire
East Dunbartonshire,"50,583",,"2,645","2,940","3,334","3,642","3,191","2,244","2,095","2,674","3,629","4,232","3,976","3,546","3,513","2,681","2,362","1,919","1,208",558,194,,East Dunbartonshire
East Lothian,"47,873",,"3,006","2,870","2,957","3,242","2,568","2,301","2,341","3,134","3,765","4,067","3,732","3,056","3,082","2,484","1,993","1,534","1,002",554,185,,East Lothian
East Renfrewshire,"43,165",,"2,576","2,779","3,152","3,183","2,640","1,763","1,878","2,441","3,180","3,612","3,534","2,924","2,699","2,040","1,809","1,394",897,501,163,,East Renfrewshire
"Edinburgh, City of","232,364",,"13,234","10,670","10,890","14,333","22,908","22,119","19,457","17,480","16,593","16,505","14,718","12,775","12,203","8,516","7,062","5,844","3,981","2,225",851,,"Edinburgh, City of"
Eilean Siar,"13,668",,718,696,777,806,686,642,674,814,"1,054","1,054","1,044",990,"1,124",852,705,484,340,165,43,,Eilean Siar
Falkirk,"76,150",,"4,710","4,298","4,574","4,863","4,438","4,457","4,845","5,467","6,247","6,149","5,518","4,577","4,925","3,616","2,986","2,217","1,378",667,218,,Falkirk
Fife,"176,943",,"10,657","9,844","10,349","11,377","11,605","10,270","10,078","11,216","13,477","13,554","12,966","11,203","12,181","9,425","7,241","5,519","3,521","1,781",679,,Fife
Glasgow City,"286,076",,"16,721","13,780","15,038","19,624","27,211","27,272","23,266","20,182","21,164","20,802","18,415","15,512","14,026","10,533","8,640","6,814","4,223","2,136",717,,Glasgow City
Highland,"113,471",,"6,531","6,322","7,008","6,852","6,036","6,259","6,190","6,620","8,091","8,990","8,663","8,176","8,447","6,593","4,936","3,750","2,383","1,197",427,,Highland
Inverclyde,"38,999",,"2,221","2,065","2,317","2,567","2,571","2,383","2,038","2,293","2,832","3,417","3,031","2,577","2,607","2,020","1,609","1,227",726,364,134,,Inverclyde
Midlothian,"40,071",,"2,449","2,440","2,502","2,657","2,400","2,154","2,240","2,592","3,013","3,127","2,946","2,675","2,769","2,079","1,615","1,212",746,338,117,,Midlothian
Moray,"45,941",,"2,710","2,498","2,918","3,114","2,714","2,692","2,578","2,708","3,510","3,563","3,306","2,962","3,068","2,427","2,060","1,507",970,449,187,,Moray
North Ayrshire,"65,804",,"3,751","3,692","4,097","4,505","3,945","3,478","3,364","3,859","4,760","5,101","4,841","4,400","4,777","3,775","3,047","2,249","1,290",639,234,,North Ayrshire
North Lanarkshire,"163,382",,"10,467","9,998","10,450","11,080","10,487","10,602","10,454","11,315","13,004","13,114","11,421","9,841","9,800","7,295","5,851","4,245","2,501","1,091",366,,North Lanarkshire
Orkney Islands,"10,566",,564,502,645,637,614,528,505,569,784,878,810,771,824,650,535,337,244,123,46,,Orkney Islands
Perth & Kinross,"71,443",,"3,741","3,730","4,422","4,535","3,939","4,038","3,839","3,985","5,085","5,814","5,180","4,880","5,233","4,011","3,338","2,665","1,802",864,342,,Perth & Kinross
Renfrewshire,"84,109",,"4,892","4,575","5,099","5,509","5,666","5,376","4,850","5,151","6,387","6,956","6,462","5,336","5,283","4,092","3,362","2,466","1,594",762,291,,Renfrewshire
Scottish Borders,"55,160",,"2,873","3,013","3,234","3,215","2,605","2,416","2,514","3,228","4,166","4,599","4,294","3,950","4,402","3,429","2,764","2,045","1,440",716,257,,Scottish Borders
Shetland Islands,"11,761",,741,712,711,792,671,653,707,782,836,952,833,824,842,601,450,304,204,102,44,,Shetland Islands
South Ayrshire,"53,732",,"2,823","2,742","3,162","3,243","3,087","2,650","2,596","3,032","3,740","4,187","4,093","3,752","4,106","3,418","2,716","2,137","1,290",729,229,,South Ayrshire
South Lanarkshire,"150,858",,"8,792","8,323","9,163","9,797","8,928","8,683","8,940","10,141","11,998","12,317","11,592","10,227","9,559","7,546","5,969","4,433","2,714","1,280",456,,South Lanarkshire
Stirling,"43,240",,"2,261","2,522","2,835","3,246","3,447","2,343","2,116","2,472","3,187","3,440","3,122","2,642","2,866","2,166","1,813","1,360",843,384,175,,Stirling
West Dunbartonshire,"43,183",,"2,702","2,341","2,532","3,002","2,918","2,762","2,447","2,608","3,210","3,560","3,317","2,885","2,685","2,094","1,604","1,267",734,368,147,,West Dunbartonshire
West Lothian,"85,556",,"5,952","5,398","5,452","5,699","5,244","5,223","5,390","6,194","7,167","7,141","6,069","4,952","5,040","3,831","2,956","2,011","1,171",504,162,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,"178,925",,"10,032","9,668","10,803","11,691","10,826","9,508","9,140","10,706","13,105","14,025","13,322","11,997","12,983","10,314","8,278","6,270","3,725","1,879",653,,Ayrshire & Arran
Borders,"55,160",,"2,873","3,013","3,234","3,215","2,605","2,416","2,514","3,228","4,166","4,599","4,294","3,950","4,402","3,429","2,764","2,045","1,440",716,257,,Borders
Dumfries & Galloway,"73,405",,"3,872","3,831","4,253","4,470","3,906","3,617","3,236","3,911","5,017","5,845","5,476","5,254","5,794","4,721","3,957","3,071","1,910",927,337,,Dumfries & Galloway
Fife,"176,943",,"10,657","9,844","10,349","11,377","11,605","10,270","10,078","11,216","13,477","13,554","12,966","11,203","12,181","9,425","7,241","5,519","3,521","1,781",679,,Fife
Forth Valley,"144,475",,"8,432","8,217","8,953","9,747","9,350","8,259","8,450","9,650","11,540","11,638","10,470","8,852","9,491","7,093","5,760","4,253","2,635","1,223",462,,Forth Valley
Grampian,"281,332",,"16,316","14,394","15,695","18,156","21,064","19,837","18,812","19,074","20,793","21,310","19,909","18,152","18,267","12,665","10,322","7,927","5,065","2,604",970,,Grampian
Greater Glasgow & Clyde,"583,126",,"34,161","30,691","33,734","39,803","46,282","43,986","39,052","38,130","43,434","45,460","41,466","35,258","33,107","25,166","20,680","16,052","9,951","4,968","1,745",,Greater Glasgow & Clyde
Highland,"156,611",,"8,627","8,551","9,591","9,563","8,548","8,473","8,102","8,884","11,049","12,368","11,836","11,251","11,920","9,505","7,204","5,355","3,422","1,749",613,,Highland
Lanarkshire,"277,505",,"16,882","16,123","17,365","18,614","17,351","17,108","16,935","18,691","21,993","22,576","20,304","17,611","17,081","13,151","10,536","7,718","4,650","2,093",723,,Lanarkshire
Lothian,"405,702",,"24,616","21,369","21,791","25,924","33,103","31,790","29,410","29,392","30,523","30,828","27,451","23,446","23,091","16,904","13,625","10,603","6,900","3,621","1,315",,Lothian
Orkney,"10,566",,564,502,645,637,614,528,505,569,784,878,810,771,824,650,535,337,244,123,46,,Orkney
Shetland,"11,761",,741,712,711,792,671,653,707,782,836,952,833,824,842,601,450,304,204,102,44,,Shetland
Tayside,"198,265",,"10,733","10,365","11,714","13,320","14,448","12,874","11,031","11,183","13,669","15,232","14,017","12,638","13,618","10,195","8,634","6,880","4,585","2,245",884,,Tayside
Western Isles,"13,668",,718,696,777,806,686,642,674,814,"1,054","1,054","1,044",990,"1,124",852,705,484,340,165,43,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Females
Females,All Ages,,Age group,,,,,,,,,,,,,,,,,,,,Area
,,,0 - 4, 5 - 9, 10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
,"2,727,959",,"143,597","131,641","142,000","162,711","182,881","175,671","163,049","173,826","203,258","210,610","191,629","168,694","171,797","136,527","119,903","101,296","75,933","47,311","25,625",,SCOTLAND
Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
Aberdeen City,"112,671",,"5,657","4,491","4,488","7,497","11,831","10,559","7,981","7,022","7,292","7,783","7,135","6,222","6,171","4,445","4,285","3,842","3,132","1,872",966,,Aberdeen City
Aberdeenshire,"127,704",,"7,387","6,793","7,282","7,446","6,180","6,706","7,386","8,774","10,324","10,533","9,321","8,761","8,612","6,458","5,125","4,204","3,188","2,090","1,134",,Aberdeenshire
Angus,"59,772",,"3,009","2,982","3,268","3,343","2,899","3,019","3,116","3,600","4,328","4,537","4,315","3,964","4,431","3,478","2,955","2,559","1,974","1,323",672,,Angus
Argyll & Bute,"45,026",,"2,011","2,083","2,336","2,387","1,926","1,950","1,945","2,527","3,251","3,508","3,357","3,253","3,718","3,001","2,580","2,087","1,512",982,612,,Argyll & Bute
Clackmannanshire,"26,333",,"1,469","1,312","1,518","1,595","1,392","1,475","1,543","1,745","2,114","2,125","1,892","1,687","1,860","1,446","1,150",816,619,397,178,,Clackmannanshire
Dumfries & Galloway,"77,919",,"3,788","3,547","4,017","4,277","3,786","3,758","3,509","4,252","5,593","6,150","5,704","5,533","5,878","5,122","4,197","3,551","2,725","1,655",877,,Dumfries & Galloway
Dundee City,"76,562",,"3,752","3,329","3,626","5,553","7,907","5,914","4,548","4,151","4,644","5,322","5,039","4,059","4,450","3,391","3,316","3,029","2,323","1,504",705,,Dundee City
East Ayrshire,"63,378",,"3,304","3,160","3,382","3,774","3,720","3,606","3,458","4,077","5,077","5,050","4,513","4,068","4,248","3,401","2,878","2,413","1,662","1,008",579,,East Ayrshire
East Dunbartonshire,"54,443",,"2,507","2,740","3,054","3,331","2,759","2,088","2,406","3,175","4,236","4,646","4,432","3,747","3,816","3,116","2,818","2,354","1,719","1,021",478,,East Dunbartonshire
East Lothian,"51,844",,"2,919","2,671","2,941","3,212","2,724","2,504","2,672","3,331","4,244","4,172","3,849","3,245","3,349","2,714","2,304","2,001","1,524",929,539,,East Lothian
East Renfrewshire,"47,409",,"2,408","2,779","2,979","2,911","2,445","1,765","2,206","2,827","3,809","4,045","3,633","3,133","2,993","2,411","2,105","1,966","1,503",943,548,,East Renfrewshire
"Edinburgh, City of","244,262",,"12,929","9,824","10,172","14,196","24,914","23,205","19,076","16,615","16,188","16,412","15,176","12,689","12,858","9,611","8,892","7,939","6,764","4,354","2,448",,"Edinburgh, City of"
Eilean Siar,"14,016",,636,717,752,780,542,616,703,822,"1,001","1,044",991,982,"1,050",848,792,663,500,374,203,,Eilean Siar
Falkirk,"79,840",,"4,629","4,113","4,274","4,458","4,364","4,853","4,948","5,794","6,351","6,280","5,527","4,896","5,139","3,935","3,514","2,843","2,019","1,258",645,,Falkirk
Fife,"188,255",,"10,118","9,312","9,837","11,287","12,536","10,532","10,709","11,819","13,968","14,453","13,186","11,778","12,815","10,104","8,411","6,906","5,209","3,407","1,868",,Fife
Glasgow City,"307,169",,"16,252","13,279","14,279","19,734","29,431","27,772","22,873","19,887","21,894","22,697","19,921","15,724","14,324","11,606","11,631","10,532","7,828","4,886","2,619",,Glasgow City
Highland,"118,661",,"6,174","6,086","6,424","6,398","5,535","6,578","6,347","7,289","8,788","9,508","8,827","8,436","8,517","6,681","5,653","4,626","3,402","2,181","1,211",,Highland
Inverclyde,"42,486",,"1,983","1,947","2,181","2,528","2,428","2,343","2,254","2,552","3,308","3,499","3,256","2,738","2,773","2,261","2,026","1,790","1,360",795,464,,Inverclyde
Midlothian,"43,116",,"2,429","2,241","2,545","2,504","2,366","2,303","2,468","2,712","3,407","3,378","3,182","2,761","3,024","2,256","1,880","1,562","1,083",660,355,,Midlothian
Moray,"47,354",,"2,536","2,389","2,720","2,803","2,297","2,634","2,481","3,036","3,521","3,662","3,290","3,048","3,315","2,678","2,216","2,003","1,405",843,477,,Moray
North Ayrshire,"72,342",,"3,669","3,538","3,913","4,272","4,001","3,809","3,727","4,380","5,416","5,723","5,188","4,904","5,138","4,198","3,563","2,853","2,051","1,258",741,,North Ayrshire
North Lanarkshire,"174,345",,"10,082","9,476","10,103","10,295","10,554","11,188","11,003","11,884","13,749","13,786","12,173","10,649","10,369","8,386","7,394","5,859","4,103","2,208","1,084",,North Lanarkshire
Orkney Islands,"10,783",,543,502,560,669,519,520,560,647,805,834,801,757,782,696,557,396,325,182,128,,Orkney Islands
Perth & Kinross,"75,209",,"3,576","3,577","4,282","4,146","3,576","4,025","3,731","4,397","5,607","5,877","5,366","5,120","5,388","4,441","3,842","3,134","2,573","1,683",868,,Perth & Kinross
Renfrewshire,"90,799",,"4,744","4,503","4,805","5,282","5,352","5,323","5,280","5,774","7,304","7,436","6,718","5,628","5,738","4,586","4,107","3,476","2,443","1,470",830,,Renfrewshire
Scottish Borders,"58,710",,"2,839","2,892","3,101","3,194","2,667","2,613","2,567","3,506","4,514","4,649","4,429","4,036","4,535","3,622","3,136","2,523","1,891","1,288",708,,Scottish Borders
Shetland Islands,"11,406",,648,614,739,659,624,600,696,751,834,889,796,769,715,629,463,383,287,194,116,,Shetland Islands
South Ayrshire,"59,067",,"2,689","2,670","3,045","3,190","3,063","2,899","2,788","3,389","4,192","4,589","4,408","4,103","4,301","3,737","3,166","2,711","2,017","1,341",769,,South Ayrshire
South Lanarkshire,"162,972",,"8,609","8,163","8,772","9,429","8,692","9,485","9,471","10,617","12,708","13,150","12,268","10,824","10,239","8,356","7,348","6,200","4,590","2,656","1,395",,South Lanarkshire
Stirling,"47,007",,"2,154","2,268","2,763","3,369","3,788","2,499","2,405","2,869","3,517","3,696","3,165","2,776","2,946","2,450","2,112","1,736","1,222",819,453,,Stirling
West Dunbartonshire,"47,537",,"2,534","2,319","2,446","2,812","2,916","2,981","2,710","2,911","3,712","3,834","3,587","3,086","2,987","2,260","2,104","1,780","1,342",755,461,,West Dunbartonshire
West Lothian,"89,562",,"5,613","5,324","5,396","5,380","5,147","5,549","5,482","6,694","7,562","7,343","6,184","5,318","5,318","4,203","3,383","2,559","1,638",975,494,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,"194,787",,"9,662","9,368","10,340","11,236","10,784","10,314","9,973","11,846","14,685","15,362","14,109","13,075","13,687","11,336","9,607","7,977","5,730","3,607","2,089",,Ayrshire & Arran
Borders,"58,710",,"2,839","2,892","3,101","3,194","2,667","2,613","2,567","3,506","4,514","4,649","4,429","4,036","4,535","3,622","3,136","2,523","1,891","1,288",708,,Borders
Dumfries & Galloway,"77,919",,"3,788","3,547","4,017","4,277","3,786","3,758","3,509","4,252","5,593","6,150","5,704","5,533","5,878","5,122","4,197","3,551","2,725","1,655",877,,Dumfries & Galloway
Fife,"188,255",,"10,118","9,312","9,837","11,287","12,536","10,532","10,709","11,819","13,968","14,453","13,186","11,778","12,815","10,104","8,411","6,906","5,209","3,407","1,868",,Fife
Forth Valley,"153,161",,"8,251","7,692","8,557","9,416","9,545","8,823","8,897","10,409","11,979","12,101","10,584","9,350","9,940","7,829","6,780","5,393","3,857","2,480","1,278",,Forth Valley
Grampian,"287,729",,"15,580","13,673","14,490","17,746","20,308","19,899","17,848","18,832","21,137","21,978","19,746","18,031","18,098","13,581","11,626","10,049","7,725","4,805","2,577",,Grampian
Greater Glasgow & Clyde,"630,282",,"32,767","29,615","31,863","38,830","47,481","44,776","40,541","40,066","47,396","49,326","44,456","36,709","35,093","28,099","26,467","23,329","17,271","10,470","5,727",,Greater Glasgow & Clyde
Highland,"163,687",,"8,185","8,169","8,760","8,785","7,461","8,528","8,292","9,816","12,039","13,016","12,184","11,689","12,235","9,682","8,233","6,713","4,914","3,163","1,823",,Highland
Lanarkshire,"297,132",,"16,370","15,602","16,770","17,508","17,103","18,178","17,678","19,583","23,344","23,797","21,548","18,839","18,165","14,891","13,078","10,636","7,624","4,265","2,153",,Lanarkshire
Lothian,"428,648",,"23,875","20,052","21,048","25,285","35,146","33,557","29,683","29,333","31,389","31,285","28,380","24,009","24,542","18,784","16,457","14,058","11,009","6,919","3,837",,Lothian
Orkney,"10,783",,543,502,560,669,519,520,560,647,805,834,801,757,782,696,557,396,325,182,128,,Orkney
Shetland,"11,406",,648,614,739,659,624,600,696,751,834,889,796,769,715,629,463,383,287,194,116,,Shetland
Tayside,"211,444",,"10,335","9,886","11,166","13,039","14,379","12,957","11,393","12,144","14,574","15,726","14,715","13,137","14,262","11,304","10,099","8,719","6,866","4,502","2,241",,Tayside
Western Isles,"14,016",,636,717,752,780,542,616,703,822,"1,001","1,044",991,982,"1,050",848,792,663,500,374,203,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Crown copyright 2013,,,,,,,,,,,,,,,,,,,,,,,
